1D 255 -0,500000 254,500000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	75,420000
1,000000	75,604531
2,000000	75,892500
3,000000	75,861250
4,000000	76,603437
5,000000	76,729453
6,000000	76,958516
7,000000	77,365156
8,000000	78,284688
9,000000	78,837969
10,000000	79,743828
11,000000	80,190234
12,000000	80,576406
13,000000	81,198750
14,000000	81,358438
15,000000	81,738984
16,000000	81,932422
17,000000	82,682891
18,000000	82,981875
19,000000	83,647969
20,000000	84,181562
21,000000	84,655312
22,000000	85,493516
23,000000	86,174922
24,000000	87,217500
25,000000	87,623203
26,000000	87,820234
27,000000	88,256719
28,000000	88,610391
29,000000	88,956484
30,000000	89,151406
31,000000	89,665234
32,000000	89,895625
33,000000	90,450859
34,000000	91,561328
35,000000	92,132109
36,000000	92,986563
37,000000	93,387031
38,000000	93,680469
39,000000	94,396953
40,000000	94,435703
41,000000	94,811406
42,000000	95,097500
43,000000	95,218047
44,000000	95,500391
45,000000	96,121250
46,000000	96,371719
47,000000	97,173906
48,000000	97,788047
49,000000	98,378906
50,000000	98,661797
51,000000	98,595391
52,000000	98,870234
53,000000	98,821953
54,000000	98,999844
55,000000	98,842109
56,000000	98,849297
57,000000	99,647500
58,000000	99,885703
59,000000	99,990625
60,000000	100,353281
61,000000	100,486875
62,000000	100,394297
63,000000	100,455313
64,000000	100,166484
65,000000	99,976953
66,000000	99,343281
67,000000	99,140469
68,000000	98,590391
69,000000	98,103359
70,000000	97,663594
71,000000	97,802969
72,000000	97,067891
73,000000	96,726797
74,000000	95,066875
75,000000	93,895234
76,000000	92,882344
77,000000	91,016484
78,000000	90,674297
79,000000	88,634375
80,000000	87,766719
81,000000	85,442344
82,000000	84,291328
83,000000	83,072344
84,000000	80,049688
85,000000	78,006719
86,000000	74,960859
87,000000	71,766250
88,000000	69,310391
89,000000	65,332109
90,000000	62,824141
91,000000	58,478047
92,000000	54,831250
93,000000	52,023516
94,000000	46,619297
95,000000	43,475859
96,000000	39,242578
97,000000	35,035938
98,000000	31,570625
99,000000	25,364375
100,000000	21,649766
101,000000	17,470859
102,000000	13,436484
103,000000	11,415859
104,000000	7,853516
105,000000	6,067969
106,000000	4,150437
107,000000	3,137430
108,000000	2,550436
109,000000	1,990681
110,000000	2,129281
111,000000	1,865994
112,000000	1,679732
113,000000	1,552259
114,000000	1,394804
115,000000	1,628985
116,000000	1,685204
117,000000	1,706245
118,000000	1,466627
119,000000	1,467702
120,000000	1,708505
121,000000	1,642658
122,000000	1,778912
123,000000	1,570584
124,000000	1,777493
125,000000	1,681938
126,000000	1,590779
127,000000	1,682113
128,000000	1,768873
129,000000	1,607102
130,000000	1,657885
131,000000	1,427090
132,000000	1,343394
133,000000	1,535279
134,000000	1,641965
135,000000	1,619408
136,000000	0,000000
137,000000	0,000000
138,000000	0,000000
139,000000	0,000000
140,000000	0,000000
141,000000	0,000000
142,000000	0,000000
143,000000	0,000000
144,000000	0,000000
145,000000	0,000000
146,000000	0,000000
147,000000	0,000000
148,000000	0,000000
149,000000	0,000000
150,000000	0,000000
151,000000	0,000000
152,000000	0,000000
153,000000	0,000000
154,000000	0,000000
155,000000	0,000000
156,000000	0,000000
157,000000	0,000000
158,000000	0,000000
159,000000	0,000000
160,000000	0,000000
161,000000	0,000000
162,000000	0,000000
163,000000	0,000000
164,000000	0,000000
165,000000	0,000000
166,000000	0,000000
167,000000	0,000000
168,000000	0,000000
169,000000	0,000000
170,000000	0,000000
171,000000	0,000000
172,000000	0,000000
173,000000	0,000000
174,000000	0,000000
175,000000	0,000000
176,000000	0,000000
177,000000	0,000000
178,000000	0,000000
179,000000	0,000000
180,000000	0,000000
181,000000	0,000000
182,000000	0,000000
183,000000	0,000000
184,000000	0,000000
185,000000	0,000000
186,000000	0,000000
187,000000	0,000000
188,000000	0,000000
189,000000	0,000000
190,000000	0,000000
191,000000	0,000000
192,000000	0,000000
193,000000	0,000000
194,000000	0,000000
195,000000	0,000000
196,000000	0,000000
197,000000	0,000000
198,000000	0,000000
199,000000	0,000000
200,000000	0,000000
201,000000	0,000000
202,000000	0,000000
203,000000	0,000000
204,000000	0,000000
205,000000	0,000000
206,000000	0,000000
207,000000	0,000000
208,000000	0,000000
209,000000	0,000000
210,000000	0,000000
211,000000	0,000000
212,000000	0,000000
213,000000	0,000000
214,000000	0,000000
215,000000	0,000000
216,000000	0,000000
217,000000	0,000000
218,000000	0,000000
219,000000	0,000000
220,000000	0,000000
221,000000	0,000000
222,000000	0,000000
223,000000	0,000000
224,000000	0,000000
225,000000	0,000000
226,000000	0,000000
227,000000	0,000000
228,000000	0,000000
229,000000	0,000000
230,000000	0,000000
231,000000	0,000000
232,000000	0,000000
233,000000	0,000000
234,000000	0,000000
235,000000	0,000000
236,000000	0,000000
237,000000	0,000000
238,000000	0,000000
239,000000	0,000000
240,000000	0,000000
241,000000	0,000000
242,000000	0,000000
243,000000	0,000000
244,000000	0,000000
245,000000	0,000000
246,000000	0,000000
247,000000	0,000000
248,000000	0,000000
249,000000	0,000000
250,000000	0,000000
251,000000	0,000000
252,000000	0,000000
253,000000	0,000000
254,000000	0,000000
