1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,254818
1024,000000	4,847944
2048,000000	7,210431
3072,000000	10,867344
4096,000000	13,846797
5120,000000	17,734844
6144,000000	21,537109
7168,000000	24,706484
8192,000000	28,642578
9216,000000	31,335156
10240,000000	35,058750
11264,000000	37,960234
12288,000000	40,467734
13312,000000	44,118437
14336,000000	47,373359
15360,000000	50,693281
16384,000000	53,598359
17408,000000	57,638516
18432,000000	60,952031
19456,000000	63,837812
20480,000000	67,328984
21504,000000	70,218203
22528,000000	73,219375
23552,000000	76,604531
24576,000000	79,626094
25600,000000	82,234063
26624,000000	85,568750
27648,000000	88,734766
28672,000000	91,068203
29696,000000	94,405078
30720,000000	97,390156
31744,000000	100,241172
32768,000000	103,328750
33792,000000	106,259453
34816,000000	109,204375
35840,000000	111,326484
36864,000000	114,927969
37888,000000	117,227109
38912,000000	119,531719
39936,000000	122,874141
40960,000000	125,054609
41984,000000	127,698359
43008,000000	130,486641
44032,000000	132,993281
45056,000000	135,628437
46080,000000	137,909844
47104,000000	140,214766
48128,000000	142,780000
49152,000000	145,194531
50176,000000	147,346641
51200,000000	150,281250
52224,000000	152,082266
53248,000000	154,260547
54272,000000	156,748359
55296,000000	158,283125
56320,000000	161,168437
57344,000000	162,973906
58368,000000	165,190859
59392,000000	167,052344
60416,000000	169,209609
61440,000000	171,616172
62464,000000	173,259141
63488,000000	174,833516
64512,000000	176,995937
65536,000000	179,522031
66560,000000	181,252969
67584,000000	183,463359
68608,000000	184,741875
69632,000000	186,847969
70656,000000	188,336484
71680,000000	189,859844
72704,000000	191,942578
73728,000000	194,048281
74752,000000	195,308281
75776,000000	196,827734
76800,000000	198,375469
77824,000000	199,641016
78848,000000	201,232969
79872,000000	202,655703
80896,000000	204,357344
81920,000000	205,956562
82944,000000	207,311797
83968,000000	208,796172
84992,000000	209,822344
86016,000000	211,434609
87040,000000	212,815703
88064,000000	214,348125
89088,000000	214,965156
90112,000000	216,813672
91136,000000	217,841094
92160,000000	219,128906
93184,000000	220,283906
94208,000000	221,302969
95232,000000	222,080156
96256,000000	223,523672
97280,000000	224,696797
98304,000000	225,845391
99328,000000	226,912734
100352,000000	227,795156
101376,000000	229,027500
102400,000000	229,763359
103424,000000	230,677422
104448,000000	231,674766
105472,000000	232,689141
106496,000000	233,543594
107520,000000	234,463516
108544,000000	235,505000
109568,000000	236,305234
110592,000000	236,965547
111616,000000	237,866641
112640,000000	238,465625
113664,000000	239,509219
114688,000000	240,079062
115712,000000	240,535859
116736,000000	241,466016
117760,000000	242,022109
118784,000000	243,071641
119808,000000	243,471250
120832,000000	244,261328
121856,000000	244,821250
122880,000000	245,548672
123904,000000	246,097656
124928,000000	246,861016
125952,000000	247,204219
126976,000000	247,856016
128000,000000	248,166016
129024,000000	248,741250
130048,000000	249,400000
131072,000000	249,731406
132096,000000	250,256797
133120,000000	250,798281
134144,000000	251,135547
135168,000000	251,671016
136192,000000	252,087734
137216,000000	252,552266
138240,000000	252,971563
139264,000000	253,367266
140288,000000	253,612344
141312,000000	254,071484
142336,000000	254,640703
143360,000000	254,785703
144384,000000	255,237578
145408,000000	255,610078
146432,000000	256,180078
147456,000000	256,385156
148480,000000	256,762266
149504,000000	257,218906
150528,000000	257,429219
151552,000000	257,759063
152576,000000	258,077188
153600,000000	258,399922
154624,000000	258,641172
155648,000000	258,808125
156672,000000	259,090078
157696,000000	259,488047
158720,000000	259,700000
159744,000000	259,935156
160768,000000	260,196406
161792,000000	260,477734
162816,000000	260,629062
163840,000000	260,933672
164864,000000	261,119141
165888,000000	261,323203
166912,000000	261,501406
167936,000000	261,748359
168960,000000	261,930312
169984,000000	262,135000
171008,000000	262,217656
172032,000000	262,466562
173056,000000	262,593203
174080,000000	262,762344
175104,000000	262,981016
176128,000000	263,064922
177152,000000	263,160703
178176,000000	263,334844
179200,000000	263,592344
180224,000000	263,834453
181248,000000	263,845000
182272,000000	263,981094
183296,000000	264,104766
184320,000000	264,280937
185344,000000	264,469766
186368,000000	264,477422
187392,000000	264,602188
188416,000000	264,795859
189440,000000	264,882422
190464,000000	264,977188
191488,000000	265,153359
192512,000000	265,221797
193536,000000	265,267813
194560,000000	265,513672
195584,000000	265,503906
196608,000000	265,702031
197632,000000	265,653125
198656,000000	265,936719
199680,000000	266,055859
200704,000000	266,044062
201728,000000	266,208750
202752,000000	266,219922
203776,000000	266,380469
204800,000000	266,525156
205824,000000	266,503906
206848,000000	266,656562
207872,000000	266,691172
208896,000000	266,905703
209920,000000	266,851016
210944,000000	267,133203
211968,000000	267,050469
212992,000000	267,208594
214016,000000	267,180469
215040,000000	267,405234
216064,000000	267,507734
217088,000000	267,396484
218112,000000	267,453203
219136,000000	267,545859
220160,000000	267,637188
221184,000000	267,630938
222208,000000	267,699113
223232,000000	0,000000
224256,000000	0,000000
225280,000000	0,000000
226304,000000	0,000000
227328,000000	0,000000
228352,000000	0,000000
229376,000000	0,000000
230400,000000	0,000000
231424,000000	0,000000
232448,000000	0,000000
233472,000000	0,000000
234496,000000	0,000000
235520,000000	0,000000
236544,000000	0,000000
237568,000000	0,000000
238592,000000	0,000000
239616,000000	0,000000
240640,000000	0,000000
241664,000000	0,000000
242688,000000	0,000000
243712,000000	0,000000
244736,000000	0,000000
245760,000000	0,000000
246784,000000	0,000000
247808,000000	0,000000
248832,000000	0,000000
249856,000000	0,000000
250880,000000	0,000000
251904,000000	0,000000
252928,000000	0,000000
253952,000000	0,000000
254976,000000	0,000000
256000,000000	0,000000
257024,000000	0,000000
258048,000000	0,000000
259072,000000	0,000000
260096,000000	0,000000
