1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,684595
1024,000000	4,297054
2048,000000	7,485391
3072,000000	11,366563
4096,000000	14,692031
5120,000000	18,067812
6144,000000	21,860703
7168,000000	25,267187
8192,000000	28,851250
9216,000000	31,772656
10240,000000	35,639531
11264,000000	38,869297
12288,000000	42,281328
13312,000000	45,715859
14336,000000	48,823359
15360,000000	52,093750
16384,000000	55,466328
17408,000000	58,814375
18432,000000	62,498125
19456,000000	65,516953
20480,000000	68,811406
21504,000000	72,370078
22528,000000	75,345625
23552,000000	78,342578
24576,000000	81,463984
25600,000000	84,892500
26624,000000	87,555156
27648,000000	90,742578
28672,000000	93,563750
29696,000000	96,687891
30720,000000	99,611406
31744,000000	102,776953
32768,000000	105,696719
33792,000000	108,906484
34816,000000	111,515547
35840,000000	114,260000
36864,000000	117,491250
37888,000000	119,923281
38912,000000	122,825937
39936,000000	125,577109
40960,000000	128,025234
41984,000000	130,666563
43008,000000	133,491484
44032,000000	135,924297
45056,000000	138,378906
46080,000000	140,999844
47104,000000	143,670234
48128,000000	146,135234
49152,000000	148,595859
50176,000000	150,930234
51200,000000	153,404453
52224,000000	155,473516
53248,000000	157,793984
54272,000000	159,770156
55296,000000	162,438125
56320,000000	164,347656
57344,000000	166,466250
58368,000000	168,498672
59392,000000	170,692812
60416,000000	172,763203
61440,000000	174,785937
62464,000000	176,853906
63488,000000	178,916094
64512,000000	180,891250
65536,000000	183,286328
66560,000000	184,801563
67584,000000	186,932891
68608,000000	188,612656
69632,000000	190,515859
70656,000000	192,188516
71680,000000	193,981016
72704,000000	195,680937
73728,000000	197,472266
74752,000000	198,808828
75776,000000	200,551016
76800,000000	202,256172
77824,000000	203,546875
78848,000000	205,044141
79872,000000	206,572344
80896,000000	208,110625
81920,000000	209,886719
82944,000000	211,351797
83968,000000	212,719063
84992,000000	214,222187
86016,000000	215,274844
87040,000000	216,677656
88064,000000	218,088750
89088,000000	219,257031
90112,000000	220,559766
91136,000000	221,720703
92160,000000	222,783281
93184,000000	223,961797
94208,000000	225,170547
95232,000000	226,231562
96256,000000	227,351875
97280,000000	228,328438
98304,000000	229,654844
99328,000000	230,331562
100352,000000	231,384219
101376,000000	232,492344
102400,000000	233,443437
103424,000000	234,332891
104448,000000	235,436641
105472,000000	236,167188
106496,000000	237,037344
107520,000000	237,939687
108544,000000	238,724297
109568,000000	239,610312
110592,000000	240,420312
111616,000000	241,257344
112640,000000	242,082578
113664,000000	242,879375
114688,000000	243,637500
115712,000000	244,255625
116736,000000	244,904219
117760,000000	245,752109
118784,000000	246,359219
119808,000000	246,897812
120832,000000	247,503828
121856,000000	248,129687
122880,000000	248,623594
123904,000000	249,188516
124928,000000	249,832031
125952,000000	250,272891
126976,000000	250,811797
128000,000000	251,208672
129024,000000	251,808984
130048,000000	252,212891
131072,000000	252,713437
132096,000000	253,124453
133120,000000	253,565391
134144,000000	254,092266
135168,000000	254,647891
136192,000000	255,065625
137216,000000	255,341719
138240,000000	255,843047
139264,000000	256,152500
140288,000000	256,551250
141312,000000	256,952813
142336,000000	257,227422
143360,000000	257,719219
144384,000000	257,973828
145408,000000	258,286562
146432,000000	258,520469
147456,000000	258,849844
148480,000000	259,161016
149504,000000	259,461719
150528,000000	259,753594
151552,000000	259,948125
152576,000000	260,327891
153600,000000	260,674297
154624,000000	260,875703
155648,000000	261,119219
156672,000000	261,304219
157696,000000	261,516484
158720,000000	261,785859
159744,000000	261,907500
160768,000000	262,058437
161792,000000	262,429062
162816,000000	262,419062
163840,000000	262,849062
164864,000000	262,932344
165888,000000	263,116484
166912,000000	263,213281
167936,000000	263,471094
168960,000000	263,595547
169984,000000	263,682969
171008,000000	263,852734
172032,000000	264,092656
173056,000000	264,146016
174080,000000	264,372500
175104,000000	264,475000
176128,000000	264,631094
177152,000000	264,760781
178176,000000	264,992656
179200,000000	265,015078
180224,000000	265,272344
181248,000000	265,394687
182272,000000	265,650781
183296,000000	265,833594
184320,000000	265,984453
185344,000000	266,083984
186368,000000	266,348203
187392,000000	266,448203
188416,000000	266,527734
189440,000000	266,633594
190464,000000	266,810156
191488,000000	266,829531
192512,000000	266,933906
193536,000000	267,016641
194560,000000	267,081250
195584,000000	267,247578
196608,000000	267,234766
197632,000000	267,306562
198656,000000	267,376328
199680,000000	267,310234
200704,000000	267,542891
201728,000000	267,583516
202752,000000	267,558125
203776,000000	267,671250
204800,000000	267,864766
205824,000000	267,833516
206848,000000	267,878594
207872,000000	267,889531
208896,000000	267,890313
209920,000000	268,013047
210944,000000	268,102188
211968,000000	268,112500
212992,000000	268,116719
214016,000000	268,279063
215040,000000	268,320469
216064,000000	268,280625
217088,000000	268,312266
218112,000000	268,281875
219136,000000	268,344531
220160,000000	268,317656
221184,000000	268,398281
222208,000000	268,454609
223232,000000	268,470000
224256,000000	268,536641
225280,000000	268,553984
226304,000000	268,542031
227328,000000	268,581172
228352,000000	268,626172
229376,000000	268,697959
230400,000000	0,000000
231424,000000	0,000000
232448,000000	0,000000
233472,000000	0,000000
234496,000000	0,000000
235520,000000	0,000000
236544,000000	0,000000
237568,000000	0,000000
238592,000000	0,000000
239616,000000	0,000000
240640,000000	0,000000
241664,000000	0,000000
242688,000000	0,000000
243712,000000	0,000000
244736,000000	0,000000
245760,000000	0,000000
246784,000000	0,000000
247808,000000	0,000000
248832,000000	0,000000
249856,000000	0,000000
250880,000000	0,000000
251904,000000	0,000000
252928,000000	0,000000
253952,000000	0,000000
254976,000000	0,000000
256000,000000	0,000000
257024,000000	0,000000
258048,000000	0,000000
259072,000000	0,000000
260096,000000	0,000000
