x-axis,1,2
second,Volt,Volt
+19.5480000E-03,,
+19.5485000E-03,+8.0402009E-03,+7.0000002E-03
+19.5490000E-03,+8.0402009E-03,+15.0402011E-03
+19.5495000E-03,+8.0402009E-03,+22.0753769E-03
+19.5500000E-03,+8.0402009E-03,+19.5628142E-03
+19.5505000E-03,+7.0351758E-03,+15.0402011E-03
+19.5510000E-03,+0.0E+00,+23.0804021E-03
+19.5515000E-03,+0.0E+00,+30.1155779E-03
+19.5520000E-03,+0.0E+00,+26.0954774E-03
+19.5525000E-03,+0.0E+00,+31.1206030E-03
+19.5530000E-03,+0.0E+00,+31.1206030E-03
+19.5535000E-03,+0.0E+00,+31.1206030E-03
+19.5540000E-03,+3.0150753E-03,+31.1206030E-03
+19.5545000E-03,+8.0402009E-03,+31.1206030E-03
+19.5550000E-03,+12.5628139E-03,+23.0804021E-03
+19.5555000E-03,+24.1206028E-03,+7.0000002E-03
+19.5560000E-03,+16.0804018E-03,-4.0552760E-03
+19.5565000E-03,+8.0402009E-03,-1.0402007E-03
+19.5570000E-03,+8.0402009E-03,-1.0402007E-03
+19.5575000E-03,+8.0402009E-03,+14.0351760E-03
+19.5580000E-03,+8.0402009E-03,+15.0402011E-03
+19.5585000E-03,+8.5427135E-03,+31.1206030E-03
+19.5590000E-03,+12.5628139E-03,+31.1206030E-03
+19.5595000E-03,+8.0402009E-03,+23.0804021E-03
+19.5600000E-03,+0.0E+00,+27.6030151E-03
+19.5605000E-03,+15.0753767E-03,+30.1155779E-03
+19.5610000E-03,+12.5628139E-03,+31.1206030E-03
+19.5615000E-03,+8.0402009E-03,+31.1206030E-03
+19.5620000E-03,+11.0552763E-03,+23.0804021E-03
+19.5625000E-03,+16.0804018E-03,+23.0804021E-03
+19.5630000E-03,+16.0804018E-03,+15.0402011E-03
+19.5635000E-03,+16.0804018E-03,+15.0402011E-03
+19.5640000E-03,+16.0804018E-03,+15.0402011E-03
+19.5645000E-03,+8.5427135E-03,+15.0402011E-03
+19.5650000E-03,+16.0804018E-03,+23.0804021E-03
+19.5655000E-03,+24.1206028E-03,+23.0804021E-03
+19.5660000E-03,+16.0804018E-03,+15.0402011E-03
+19.5665000E-03,+15.0753767E-03,+15.0402011E-03
+19.5670000E-03,+8.0402009E-03,+11.5226132E-03
+19.5675000E-03,+0.0E+00,+15.5427137E-03
+19.5680000E-03,+0.0E+00,+31.1206030E-03
+19.5685000E-03,+7.0351758E-03,+31.1206030E-03
+19.5690000E-03,+8.0402009E-03,+31.1206030E-03
+19.5695000E-03,+16.0804018E-03,+31.1206030E-03
+19.5700000E-03,+24.1206028E-03,+23.0804021E-03
+19.5705000E-03,+16.0804018E-03,+23.0804021E-03
+19.5710000E-03,+16.0804018E-03,+19.5628142E-03
+19.5715000E-03,+16.0804018E-03,+23.0804021E-03
+19.5720000E-03,+16.0804018E-03,+23.0804021E-03
+19.5725000E-03,+16.5829144E-03,+23.0804021E-03
+19.5730000E-03,+32.1608037E-03,+19.5628142E-03
+19.5735000E-03,+40.2010046E-03,+7.0000002E-03
+19.5740000E-03,+28.6432158E-03,+2.4773872E-03
+19.5745000E-03,+24.1206028E-03,+15.0402011E-03
+19.5750000E-03,+32.1608037E-03,+15.0402011E-03
+19.5755000E-03,+24.6231153E-03,+7.5025128E-03
+19.5760000E-03,+24.1206028E-03,+11.5226132E-03
+19.5765000E-03,+24.1206028E-03,+7.0000002E-03
+19.5770000E-03,+16.0804018E-03,+7.0000002E-03
+19.5775000E-03,+16.0804018E-03,+15.0402011E-03
+19.5780000E-03,+16.0804018E-03,+15.0402011E-03
+19.5785000E-03,+16.0804018E-03,+31.1206030E-03
+19.5790000E-03,+16.0804018E-03,+39.1608039E-03
+19.5795000E-03,+24.1206028E-03,+31.1206030E-03
+19.5800000E-03,+24.1206028E-03,+31.1206030E-03
+19.5805000E-03,+16.0804018E-03,+30.1155779E-03
+19.5810000E-03,+20.6030149E-03,+26.0954774E-03
+19.5815000E-03,+24.1206028E-03,+23.0804021E-03
+19.5820000E-03,+16.0804018E-03,+23.0804021E-03
+19.5825000E-03,+8.5427135E-03,+23.0804021E-03
+19.5830000E-03,+11.0552763E-03,+23.0804021E-03
+19.5835000E-03,+16.0804018E-03,+23.0804021E-03
+19.5840000E-03,+16.0804018E-03,+23.0804021E-03
+19.5845000E-03,+8.0402009E-03,+15.5427137E-03
+19.5850000E-03,+12.5628139E-03,+23.0804021E-03
+19.5855000E-03,+16.0804018E-03,+23.0804021E-03
+19.5860000E-03,+12.5628139E-03,+18.0552765E-03
+19.5865000E-03,+8.0402009E-03,+15.0402011E-03
+19.5870000E-03,+4.5226130E-03,+23.0804021E-03
+19.5875000E-03,+8.5427135E-03,+30.1155779E-03
+19.5880000E-03,+16.0804018E-03,+23.0804021E-03
+19.5885000E-03,+16.0804018E-03,+23.5829146E-03
+19.5890000E-03,+16.0804018E-03,+23.0804021E-03
+19.5895000E-03,+16.0804018E-03,+23.0804021E-03
+19.5900000E-03,+20.6030149E-03,+18.0552765E-03
+19.5905000E-03,+23.1155776E-03,+22.0753769E-03
+19.5910000E-03,+19.0954772E-03,+18.0552765E-03
+19.5915000E-03,+16.0804018E-03,+15.5427137E-03
+19.5920000E-03,+16.0804018E-03,+23.0804021E-03
+19.5925000E-03,+16.0804018E-03,+23.0804021E-03
+19.5930000E-03,+16.0804018E-03,+26.0954774E-03
+19.5935000E-03,+32.1608037E-03,+30.1155779E-03
+19.5940000E-03,+40.2010046E-03,+23.0804021E-03
